Laranja - Valor da produção (2023),,
localidade,valor,unidade
Rondônia,9.778,Mil Reais
Acre,6.286,Mil Reais
Amazonas,71.539,Mil Reais
Roraima,38.655,Mil Reais
Pará,229.101,Mil Reais
Amapá,4.739,Mil Reais
Tocantins,1.760,Mil Reais
Maranhão,287,Mil Reais
Piauí,2.765,Mil Reais
Ceará,11.130,Mil Reais
Rio Grande do Norte,660,Mil Reais
Paraíba,6.050,Mil Reais
Pernambuco,8.332,Mil Reais
Alagoas,165.589,Mil Reais
Sergipe,368.666,Mil Reais
Bahia,404.459,Mil Reais
Minas Gerais,1.361.114,Mil Reais
Espírito Santo,47.410,Mil Reais
Rio de Janeiro,126.113,Mil Reais
São Paulo,15.433.331,Mil Reais
Paraná,951.110,Mil Reais
Santa Catarina,34.563,Mil Reais
Rio Grande do Sul,408.862,Mil Reais
Mato Grosso do Sul,48.815,Mil Reais
Mato Grosso,11.347,Mil Reais
Goiás,221.233,Mil Reais
Distrito Federal,2.626,Mil Reais
Fonte: PAM
,,
